Designator,LCSC_part,Native_rotation_deg,CPL_rotation_deg,Pin_1_X_mm,Pin_1_Y_mm,Omit_post,Key_X_mm,Key_Y_mm,Tab_or_notch_top_view,Checked_pins,Library_orientation_status,Detail
J101,C305801,270.0,90.0,431.968000,-101.288000,3,431.968000,-109.208000,left,7,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J102,C305802,270.0,90.0,431.968000,-49.714000,7,431.968000,-73.474000,left,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J103,C240824,270.0,270.0,431.968000,-28.010000,,,,left,4,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J104,C505166,0,180.0,392.612000,-10.898000,3,400.532000,-10.898000,down,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J105,C505166,0,180.0,392.612000,-33.531000,3,400.532000,-33.531000,down,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J106,C505166,0,180.0,214.309000,-11.736000,4,226.189000,-11.736000,down,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J107,C86500,0,180.0,207.886000,-33.950000,4,219.766000,-33.950000,down,6,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J108,C240823,0,0.0,194.797000,-11.736000,,,,down,3,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J109,C305801,0,180.0,149.154000,-11.736000,6,168.954000,-11.736000,down,7,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J110,C305802,0,180.0,106.382000,-11.736000,5,122.222000,-11.736000,down,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J111,C588986,0,180.0,77.323000,-15.927000,4,84.943000,-15.927000,down,5,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J112,C505166,0,180.0,51.430000,-11.736000,4,63.310000,-11.736000,down,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J113,C5200275,180.0,90.0,8.220000,-128.459000,,,,right,34,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J114,C305801,90.0,270.0,7.610000,-187.249000,6,7.610000,-167.449000,right,7,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J115A,C86500,90.0,270.0,7.610000,-245.602000,,,,right,6,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J115B,C86500,90.0,270.0,7.610000,-221.842000,3,7.610000,-213.922000,right,6,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J116,C240824,180.0,180.0,27.987000,-247.713000,1,27.987000,-247.713000,up,4,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J117,C240824,180.0,180.0,27.987000,-265.300000,1,27.987000,-265.300000,up,4,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J118,C240824,180.0,180.0,47.267000,-247.713000,1,47.267000,-247.713000,up,4,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J119,C240823,180.0,180.0,46.545000,-265.300000,2,42.585000,-265.300000,up,3,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J120,C592598,180.0,0.0,109.999000,-247.713000,4,98.119000,-247.713000,up,0,MANUAL: no library,Native assembly drawing and polarity/key control placement; no library claim.
J121,C592598,180.0,0.0,99.018000,-265.300000,4,87.138000,-265.300000,up,0,MANUAL: no library,Native assembly drawing and polarity/key control placement; no library claim.
J122,C305802,180.0,0.0,144.349000,-265.300000,7,120.589000,-265.300000,up,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J123,C505166,180.0,0.0,137.100000,-247.713000,2,133.140000,-247.713000,up,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J124,C505166,180.0,0.0,160.823000,-247.713000,4,148.943000,-247.713000,up,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J125,C305802,180.0,0.0,218.202000,-247.713000,4,206.322000,-247.713000,up,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J126,C592598,180.0,0.0,222.936000,-265.300000,9,191.256000,-265.300000,up,0,MANUAL: no library,Native assembly drawing and polarity/key control placement; no library claim.
J127,C305802,180.0,0.0,268.331000,-247.713000,2,264.371000,-247.713000,up,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J128,C505166,180.0,0.0,252.867000,-265.300000,4,240.987000,-265.300000,up,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J129,C505166,180.0,0.0,275.500000,-265.300000,3,267.580000,-265.300000,up,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J130,C305802,180.0,0.0,322.317000,-247.713000,3,314.397000,-247.713000,up,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J131,C505166,180.0,0.0,314.313000,-265.300000,2,310.353000,-265.300000,up,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J132,C505166,180.0,0.0,339.461000,-265.300000,4,327.581000,-265.300000,up,5,MANUAL: housing unavailable,Numbered pads checked; no public 3D housing. Require inward friction wall.
J133,C94118,180.0,0.0,369.365000,-244.779000,3,364.285000,-244.779000,up,9,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J134,C94118,180.0,0.0,369.365000,-257.772000,3,364.285000,-257.772000,up,9,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J135,C94118,180.0,0.0,369.365000,-267.490000,3,364.285000,-267.490000,up,9,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J136,C240823,180.0,180.0,384.373000,-265.300000,1,384.373000,-265.300000,up,3,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.
J137,C305802,180.0,0.0,422.659000,-246.875000,8,394.939000,-246.875000,up,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
J138,C305802,180.0,0.0,422.659000,-265.300000,8,394.939000,-265.300000,up,9,MANUAL: housing/pad conflict,CPL follows inward friction wall; numbered public pads face opposite. Resolve library model at assembly review; native pin/key guide is authoritative.
